reactant , product, 75.5, 6.0
reactant , product, 48.5, 1.5
product , reactant, 61.0, 0.0
product , reactant, 52.0, 0.5
reactant , product, 56.5, 7.5
product , reactant, 62.0, 1.5
product , reactant, 51.5, 2.0
reactant , product, 57.0, 0.5
reactant , product, 50.0, 9.5
product , reactant, 43.5, 0.0
reactant , product, 90.5, 6.0
reactant , product, 123.0, 14.0
product , reactant, 54.0, 8.5
reactant , product, 45.0, 0.0
product , reactant, 49.0, 3.0
product , reactant, 50.5, 4.5
reactant , product, 40.0, 8.0
product , reactant, 49.0, 2.0
reactant , product, 37.5, 2.0
product , reactant, 35.5, 3.5
product , reactant, 47.0, 3.0
reactant , product, 61.0, 7.5
product , reactant, 121.0, 3.5
product , reactant, 34.0, 1.0
reactant , product, 55.0, 4.0
product , reactant, 48.5, 0.5
product , reactant, 38.5, 2.5
reactant , product, 63.0, 9.0
product , reactant, 34.5, 4.5
product , reactant, 46.5, 5.0
product , reactant, 49.5, 2.0
product , reactant, 44.0, 5.0
reactant , product, 82.5, 5.0
reactant , product, 77.0, 1.0
product , reactant, 48.5, 0.5
product , reactant, 53.5, 5.0
reactant , product, 57.0, 2.0
reactant , product, 48.0, 3.5
product , reactant, 52.5, 5.5
reactant , product, 57.5, 6.5
product , reactant, 52.0, 3.5
product , reactant, 73.5, 2.5
reactant , product, 49.0, 6.5
reactant , product, 33.0, 3.5
product , reactant, 62.5, 6.0
reactant , product, 38.5, 1.0
product , reactant, 50.5, 0.0
reactant , product, 45.0, 4.0
product , reactant, 56.0, 0.5
product , reactant, 38.5, 6.5
product , reactant, 43.0, 5.5
reactant , product, 85.0, 3.0
product , reactant, 53.0, 3.5
product , reactant, 63.5, 2.0
reactant , product, 50.5, 2.5
reactant , product, 52.0, 1.0
product , reactant, 77.0, 6.5
reactant , product, 59.5, 3.5
reactant , product, 94.0, 6.5
reactant , product, 54.0, 5.5
product , reactant, 97.0, 8.0
reactant , product, 56.0, 3.0
product , reactant, 48.5, 2.0
product , reactant, 55.0, 1.0
product , reactant, 67.5, 2.0
reactant , product, 41.5, 1.5
product , reactant, 77.0, 0.5
product , reactant, 35.5, 2.0
product , reactant, 51.0, 0.5
reactant , product, 52.0, 0.5
product , reactant, 48.0, 1.0
product , reactant, 63.0, 4.5
reactant , product, 58.0, 0.5
product , reactant, 49.5, 6.5
product , reactant, 68.5, 2.5
reactant , product, 49.5, 5.5
product , reactant, 46.0, 2.5
product , reactant, 51.5, 1.0
product , reactant, 46.5, 1.5
reactant , product, 42.5, 3.5
product , reactant, 60.5, 1.5
reactant , product, 42.5, 6.0
reactant , product, 42.5, 5.5
product , product, 91.5, None
reactant , product, 38.0, 1.0
reactant , product, 94.0, 3.5
product , reactant, 59.5, 1.0
reactant , product, 59.5, 1.0
product , reactant, 37.5, 3.5
reactant , product, 67.0, 4.5
